Year,median_household_income_2021,percentage_median_income
1984,54744.62,
1985,55768.24,1.87
1986,57777.04,3.6
1987,58467.08,1.19
1988,58949.27,0.82
1989,59967.7,1.73
1990,59199.72,-1.28
1991,57470.47,-2.92
1992,57025.69,-0.77
1993,56721.2,-0.53
1994,57380.06,1.16
1995,59177.9,3.13
1996,60037.33,1.45
1997,61272.95,2.06
1998,63524.92,3.68
1999,65097.25,2.48
2000,64963.19,-0.21
2001,63522.84,-2.22
2002,62804.75,-1.13
2003,62726.8,-0.12
2004,62508.57,-0.35
2005,63177.82,1.07
2006,63670.41,0.78
2007,64524.64,1.34
2008,62224.87,-3.56
2009,61789.44,-0.7
2010,60174.5,-2.61
2011,59256.88,-1.52
2012,59143.6,-0.19
2013,61213.71,3.5
2014,60275.31,-1.53
2015,63378.39,5.15
2016,65364.32,3.13
2017,66261.16,1.37
2018,66846.24,0.88
2019,71396.95,6.81
